,created_at,text,retweets,likes
43,2025-03-30 04:23:00+00:00,"RT @HawkinsKat5036: @komonews This layoff is the same as big tech does every 4-5 years  like 8% =0.08 10,000 employees 
THIS IS NORMAL
busi…",1,0
44,2025-03-30 03:49:00+00:00,RT @groth1945: 🆘My Friends &amp;Fellow Americans.If an H-1B visa holder is LAID OFF and LOOSES SPONSORSHIP( the corporation working for during…,52,0
45,2025-03-30 03:42:44+00:00,Bay Area tech CEO lays off 931 workers with 'straight facts' email https://t.co/RAdKVnHdf2 via @SFGate,0,0
46,2025-03-30 03:07:41+00:00,"@Shawn_Gold14 @UlquioNiiue @pbeyssac Aussi les genAi des années 80 à 2020 qui ne pouvaient que vomir des bouillis à peine compréhensible sont incomparable aux actuelles qui ont une réelle volonté et capacité de remplacement (je rappel les milliers de layoff en tech, c'est du PRÉSENT, pas de la futurologie).",0,0
47,2025-03-30 01:13:41+00:00,"Going my way?

IBM to layoff thousands of U.S. employees as hiring shifts to India: Report

Source: The Hindu
 https://t.co/Q71cTVjdrM

Shared via the Google App",0,0
48,2025-03-30 00:32:07+00:00,Bay Area tech CEO lays off 931 workers with 'straight facts' email https://t.co/yWYaz6R7vR via @SFGate,0,0
49,2025-03-29 23:34:17+00:00,"Jack Dorsey's finally starting to act a little bit like a CEO.

Bay Area tech CEO lays off 931 workers with 'straight facts' email
https://t.co/VGkjQdv7H8",0,0
50,2025-03-29 23:25:09+00:00,Bay Area tech CEO lays off 931 workers with 'straight facts' email https://t.co/Ab0Iz2oS7k via @SFGate,0,1
51,2025-03-29 23:00:55+00:00,"@komonews This layoff is the same as big tech does every 4-5 years  like 8% =0.08 10,000 employees 
THIS IS NORMAL
business changes
Employees are not productive 
Profit is driving force 
American taxpayers want this
We voted for this",1,3
52,2025-03-29 22:18:37+00:00,"Unnecessary ""off-strategy"" workers...

Bay Area tech CEO lays off 931 workers with 'straight facts' email
https://t.co/bFHIJ8ODqc",0,0
53,2025-03-29 21:26:16+00:00,"Bay Area tech CEO lays off 931 workers with 'straight facts' email

Source: SFGATE
 https://t.co/0CidPlqYpc

Shared via the Google App",0,0
54,2025-03-29 13:31:16+00:00,Bay Area tech CEO lays off 931 workers with 'straight facts' email https://t.co/ag2YZ7Yx4R via @SFGate,0,1
55,2025-03-29 13:18:22+00:00,It's funny how Jack Dosey can lay of 931 employees from his company to cut costs without any outrage but DOGE isn't allowed to do the same thing  without court orders trying to block the cuts and outrage by the leftists. https://t.co/fICJwlPgjI via @SFGate,0,0
56,2025-03-29 13:13:32+00:00,"They should be penalized by the Trump administration for this move.

https://t.co/Qsi0CmhKVJ",0,0
57,2025-03-29 12:25:04+00:00,Bay Area tech CEO lays off 931 workers with 'straight facts' email https://t.co/EFonJVKLT2 via @SFGate,0,0
58,2025-03-29 12:17:28+00:00,"Like many other professions ,nothing is guaranteed 

From 2020 to 2023, more than 800,000 tech industry employees across the globe were laid off, according to TrueUp's layoff tracker.",0,0
59,2025-03-29 12:17:06+00:00,@ainunnajib layoff tech company karena AI?? 😂,0,0
60,2025-03-29 10:05:10+00:00,"#IBM to layoff thousands of U.S. employees as hiring shifts to #India: Report  

#Trump #TrumpFascist #TrumpTraitor #donaldtrump #TrumpRapist #TrumpLies #Russia #TrumpRacist #Fascism #Trumpsmells #terrorism #ArrestTrumpNow #RussianAsset #TrumpStinks 

https://t.co/BPiBbGEZpw",0,1
61,2025-03-29 09:22:45+00:00,"Haha

https://t.co/j7BFM1HWxF",0,0
62,2025-03-29 09:04:40+00:00,"https://t.co/UUkBO6ramZ
IBM
Thread topic:
IBM Layoff: A Setback for US Workers but a Growth Opportunity for India’s Tech Sector
$IBM #IBM #TheLayoff #Layoffs #layoffs2025 #Layoff #Armonk #NY #ArmonkNY #JobCut #ITLayoffs #ITJOBCuts $ACN $XRX 🤖",0,0
63,2025-03-29 07:54:11+00:00,"Bay Area tech CEO lays off 931 workers with 'straight facts' email

Source: SFGATE
 https://t.co/JmlaN1wqze

Shared via the Google App",0,0
64,2025-03-29 07:31:56+00:00,"@ecommurz Hire ex tech startup korban layoff yg jago2 B Inggris itu bisa loh pak, kalo mau itu juga wkwk",0,2
65,2025-03-29 05:29:30+00:00,Bay Area tech CEO lays off 931 workers with 'straight facts' email https://t.co/UJGn58HnaN via @SFGate,0,0
66,2025-03-29 05:02:08+00:00,"GESARA’s full rollout includes: Debt erasure, Constitutional restoration, Quantum elections, Suppressed tech release, Military-enforced peace.

But the collapse is NECESSARY. Every layoff, every crash, every panic—it’s part of the purge.",0,0
67,2025-03-29 04:36:27+00:00,"GESARA’s full rollout includes: Debt erasure, Constitutional restoration, Quantum elections, Suppressed tech release, Military-enforced peace.

But the collapse is NECESSARY. Every layoff, every crash, every panic—it’s part of the purge.",0,1
68,2025-03-29 04:28:47+00:00,"Layoffs erase more than 600 Bay Area tech, biotech, hotel, retail jobs - The Mercury News https://t.co/rd5aHqtiCx via @GoogleNews",0,0
69,2025-03-29 04:12:03+00:00,"Let the layoffs continue! 💀

https://t.co/o7FqFBcAAB",0,10
70,2025-03-29 02:07:21+00:00,"Layoffs erase more than 600 Bay Area tech, biotech, hotel, retail jobs https://t.co/k8RSo7oqRA",0,1
71,2025-03-29 01:50:57+00:00,"IBM to layoff thousands of U.S. employees as hiring shifts to India: Report
https://t.co/EkLmZhz6EO",0,0
72,2025-03-28 23:07:41+00:00,"RT @AsmRepublicans: 🏢@georgeavalos: “California has lost 28,900 jobs so far in 2025 after the state shed 21,400 positions in January.”
http…",1,0
73,2025-03-28 23:00:11+00:00,"🏢@georgeavalos: “California has lost 28,900 jobs so far in 2025 after the state shed 21,400 positions in January.”
https://t.co/ansRDS43fl",1,6
74,2025-03-28 22:12:53+00:00,Bay Area tech CEO lays off 931 workers with 'straight facts' email https://t.co/LlP4HZsSMx via @SFGate,0,0
75,2025-03-28 21:47:11+00:00,"Bay Area tech CEO Jack Dorsey (formerly of Twitter) lays off 931 workers with 'straight facts' email.
https://t.co/oA9Lo1mN8e",0,0
76,2025-03-28 21:42:32+00:00,"https://t.co/7p2hE1wE2g 
#poor #performance 
@KamalaHarris",0,0
77,2025-03-28 21:23:26+00:00,So let’s treat this the same as the government cut backs as Dorsey executed it in a very similar way &amp; for the same reason.  https://t.co/i85sOhhA46,0,0
78,2025-03-28 21:20:18+00:00,@realDonaldTrump no more jobs thanks to Trump letting tech bros ship all jobs to India. Funny it’s legal to layoff American then send that job right to India. https://t.co/FMPciD4buq,0,0
79,2025-03-28 21:05:50+00:00,"@EricLDaugh Keep allow tech firms to send jobs overseas though. Layoff Americans, hire Indians. This is the Trump team plan. https://t.co/FMPciD4buq",0,0
80,2025-03-28 19:50:51+00:00,"@RepRaskin Let’s see actual people arrested for all this fraud being found until then it continues to be total bullshit.  

How about we fix the system and improve the tech THEN layoff people?  Musk’s approach is ass backwards",0,0
81,2025-03-28 19:01:28+00:00,"@gudamascodev kkkkkkkkkkkkkkkkkk quer parar todo git flow da equipe mudando nome de branch. Num layoff  tu é o primeiro a entrar na lista de demissão, escolheu a luta errada...
por isso a cultura woke ta sendo deixada de lado em big tech, tudo vira problema social, quer militar em tudo.",0,6
82,2025-03-28 18:44:18+00:00,https://t.co/W2IRGnfd7b,0,0
83,2025-03-28 18:25:40+00:00,RT @bettyp711: https://t.co/c6ueYg0jrG,1,0
84,2025-03-28 18:15:33+00:00,"IBM to layoff thousands of U.S. employees as hiring shifts to India: Report 

 https://t.co/ww8zRelJ0d",0,0
85,2025-03-28 17:32:32+00:00,"📊

https://t.co/6ID7fBDBjO",0,0
86,2025-03-28 17:09:48+00:00,"Bay Area, California both lose thousands of jobs as hiring tumbles https://t.co/UG0M7J2FKJ",0,1
87,2025-03-28 17:03:46+00:00,https://t.co/c6ueYg0jrG,1,0
88,2025-03-28 16:58:35+00:00,"RT @turnedanew: More buzzwords.. ""Decentralized Tech Model"" to layoff people. Yet H1B continues without a break ...

https://t.co/gkiXA86I9Z",2,0
89,2025-03-28 16:40:26+00:00,https://t.co/PgkR0F1Hzm,0,0
90,2025-03-28 16:39:07+00:00,"RT @stlawyers: ⚠️#LAYOFF ALERT⚠️ We're working to determine the exact number of #IBM jobs cut in #Canada.

📰 Our blog contains key resource…",1,0
91,2025-03-28 16:38:46+00:00,"⚠️#LAYOFF ALERT⚠️ We're working to determine the exact number of #IBM jobs cut in #Canada.

📰 Our blog contains key resources for non-unionized #employees.

$IBM #Rights #Layoffs #Jobs #Tech #Severance #Compensation

https://t.co/ssDZInmthu",1,1
92,2025-03-28 16:07:44+00:00,"Trickle down economic DOGE in action
https://t.co/FxkD8jD87y",0,0
93,2025-03-28 16:06:49+00:00,"🚨 LAYOFF ALERT - United States 🇺🇸

Philips Respironics, Inc. will lay off 14 employees at 174 Tech Center Drive, Mount Pleasant, PA on May 23, 2025, as indicated in a WARN notice. https://t.co/crlehgFisJ",0,2
94,2025-03-28 16:06:29+00:00,"more #layoffs2025 

https://t.co/nlpNjRIeJQ",0,0
95,2025-03-28 16:05:21+00:00,"Bay Area, California both lose thousands of jobs as hiring tumbles https://t.co/wmiH40wcHn",0,0
96,2025-03-28 16:03:06+00:00,"Bay Area, California both lose thousands of jobs as hiring tumbles https://t.co/sqJPXt0DQc",0,0
97,2025-03-28 15:58:26+00:00,"RT @turnedanew: More buzzwords.. ""Decentralized Tech Model"" to layoff people. Yet H1B continues without a break ...

https://t.co/gkiXA86I9Z",2,0
98,2025-03-28 15:36:02+00:00,https://t.co/1tSLZI0Xlo,0,0
99,2025-03-28 14:50:48+00:00,"Layoffs erase more than 600 Bay Area tech, biotech, hotel, retail jobs https://t.co/khCoJqjLv6",0,1
